gene_id	KO1CT	KO1G	KO1NH	KO1NL	KO2CT	KO2G	KO2NH	KO2NL	KO3CT	KO3G	KO3NH	KO3NL	WT1CT	WT1G	WT1NH	WT1NL	WT2CT	WT2G	WT2NH	WT2NL	WT3CT	WT3G	WT3NH	WT3NL
Gm15008	5	3	0	3	4	1	0	2	6	4	2	4	9	2	3	0	6	3	0	2	5	4	3	3
Sacs	2542	2932	3322	2010	2638	2814	3266	2383	2727	2328	3667	2440	1931	3794	3839	3220	2602	3728	4936	3351	3295	3718	4500	2614
Gm31819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp712	99	100	37	145	70	109	32	138	94	104	45	177	111	77	43	106	94	74	61	85	92	69	45	136
Zfp710	799	398	124	625	804	418	142	642	701	397	109	632	831	282	128	490	864	282	84	447	879	299	105	501
Zfp711	4	0	0	0	6	0	4	2	0	0	0	0	4	0	8	4	4	0	4	0	0	4	3	0
Gm41954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp715	1109	859	751	678	1110	779	777	825	1169	745	771	970	1005	732	822	854	1102	679	886	729	1191	669	1015	694
Mllt6	6023	8184	8935	7492	4913	7898	8185	7562	5924	7206	8146	8181	5541	11796	11120	9180	6005	13212	10802	10441	5864	11514	12191	8567
Zfp719	321	269	383	388	419	322	407	452	337	299	426	434	299	226	390	368	276	263	306	303	293	222	384	362
Mllt1	1678	3386	5545	2595	1210	3418	5280	3173	1469	3426	6137	2923	1490	4711	5853	4330	1479	4836	5894	4439	1582	4602	5875	3955
Mllt3	3207	1280	258	1527	3067	1260	310	1636	3133	1183	293	1787	2980	943	201	1300	3320	1060	283	1352	3323	984	274	1515
LOC108167749	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	2	0	0
LOC108167740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
Btg4	0	2	0	0	2	0	2	0	0	2	0	0	0	0	0	0	3	0	0	0	7	0	2	0
Btg3	2161	1394	2783	1366	2655	1479	2619	1520	2265	1341	2402	1533	1827	1936	2689	1821	1818	1962	2471	2013	1754	1942	2571	1938
Btg2	12277	4086	3163	10159	12063	4399	3638	10134	13420	3998	2532	10896	9336	1475	1539	5856	9498	1434	1617	5129	10476	1532	1614	5991
Btg1	75827	54700	48495	60333	75771	58207	48791	67998	69892	53619	46729	66190	81525	50188	41273	59160	81175	51316	42714	58130	81105	51097	43592	57600
Smok3a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smok3c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Duxf3	5	11	20	2	11	0	6	3	8	0	3	2	2	0	2	0	27	0	0	2	63	0	3	0
Nupl1	2687	2978	3419	2428	2498	2733	3307	2667	2810	2379	3246	2930	2135	2949	3101	2797	2390	3173	3561	2634	2431	3076	3784	2531
Nupl2	520	441	611	287	447	483	696	410	589	464	695	306	397	577	657	424	386	604	693	410	408	554	622	363
Hoxd3os1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ttc30a2	2	4	18	7	7	3	13	6	10	6	10	6	10	8	11	10	4	15	13	10	7	8	14	8
Npat	3128	2082	1668	1696	3061	2029	1823	1961	3119	1746	1856	2093	3074	1883	1747	2036	3350	1934	1634	1756	3638	1819	1970	1902
Ttc30a1	39	90	155	63	33	75	137	61	45	103	160	67	58	104	140	72	49	123	145	96	50	102	181	84
Gga1	3042	2472	2348	2611	2965	2625	2284	2769	2852	2651	2513	2664	2534	2511	2406	2525	2723	2325	2284	2610	2740	2496	2292	2998
Gga3	1707	2562	2914	2284	1457	2478	2930	2419	1613	2261	2984	2374	1236	2527	2822	2842	1373	2588	2776	2626	1492	2634	2816	2399
Gga2	230	420	460	277	153	395	465	298	218	404	514	317	272	618	611	450	294	554	653	386	259	604	652	377
Sorbs1	383	279	44	386	340	284	49	368	386	208	41	383	292	128	39	255	375	148	45	246	386	111	47	266
Sorbs3	48	19	15	34	65	17	6	26	48	13	11	26	40	13	8	14	60	18	2	13	63	16	10	25
Sorbs2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	3	0	0	0
Tshz2	0	2	4	0	0	0	0	0	0	0	7	0	0	0	0	0	0	3	2	0	2	2	0	2
Tshz3	3	5	5	4	0	4	2	2	2	4	4	4	15	4	2	24	6	6	14	10	9	6	7	11
Tshz1	3946	1302	265	1738	4845	1444	316	1758	3829	1221	259	1709	4245	627	304	985	4780	664	358	891	4845	627	295	1102
Bbof1	127	66	21	89	146	62	15	76	97	53	31	98	81	39	28	58	132	32	24	72	136	54	29	55
Speer4d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Speer4e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Speer4a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Speer4b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Speer4c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arhgef28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Malrd1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arhgef25	4	18	15	7	9	6	13	5	8	6	12	0	6	5	12	3	6	0	4	0	9	4	11	0
Arhgef26	24	6	9	13	5	24	20	14	19	18	13	15	17	16	18	16	15	16	15	19	11	10	27	18
1700024I08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5033406O09Rik	0	0	4	0	2	4	0	0	0	0	0	0	0	0	0	2	7	0	2	0	0	0	2	0
Gm36215	0	7	25	7	0	9	19	10	0	0	17	11	0	2	23	17	0	2	23	14	0	0	12	12
Lmna	472	432	525	244	562	386	621	307	649	398	213	285	1298	572	790	517	1055	399	368	647	686	579	625	458
Fndc3c1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm17330	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Zdbf2	14	2	7	2	29	4	6	2	30	0	8	4	10	4	0	2	11	0	2	0	19	0	0	0
Sorcs1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sorcs2	661	210	18	319	630	119	13	319	657	193	10	294	435	97	11	258	542	95	4	223	572	69	7	214
Sorcs3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm35439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trim34a	296	804	230	1158	202	852	184	1147	329	694	186	1233	369	314	158	818	325	412	109	831	297	395	101	1074
Trim34b	37	41	14	72	33	55	10	64	20	41	9	50	22	30	3	43	19	22	10	31	14	42	6	51
Prepl	427	432	231	538	428	408	241	502	478	438	258	569	292	275	214	414	343	296	253	357	380	302	247	347
A530032D15Rik	4	7	6	7	7	17	11	8	13	5	5	20	35	9	15	10	24	9	16	11	13	17	18	12
4933412E24Rik	0	2	0	0	0	0	0	2	0	0	2	0	6	0	0	2	2	2	0	0	0	2	0	0
Cdhr1	3	5	7	0	0	7	6	5	2	9	0	0	2	6	0	6	9	11	2	0	3	0	5	0
Cdhr2	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cdhr3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cdhr4	36	12	6	13	38	10	0	19	33	11	1	24	21	10	0	35	41	18	1	27	43	25	4	19
Cdhr5	9	0	0	0	3	0	0	0	2	0	2	0	3	0	0	0	2	0	0	0	3	4	0	0
Gm36639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm36631	69	58	6	79	49	48	4	127	68	57	16	91	48	12	9	50	39	35	9	40	39	15	11	54
Gm12863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm36633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm36635	18	13	16	2	12	12	6	7	11	13	24	5	2	12	17	12	7	8	16	6	5	15	19	5
Gm36634	2	5	12	6	15	4	11	3	4	6	6	2	2	0	8	5	3	3	11	4	2	9	6	2
Gm12865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tcof1	4565	11567	17307	8061	4051	10884	16771	8585	4667	11138	16643	8454	4252	15388	14938	12736	4620	15644	15999	13640	5015	16532	15872	11266
Gm3279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm40426	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0
Olfr523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Olfr522	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Olfr520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Olfr527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1
Olfr525	1	2	0	0	1	0	0	0	0	0	2	0	0	1	0	0	2	1	2	0	0	0	1	0
Olfr524	2	2	0	4	7	0	0	0	4	0	0	2	5	2	0	1	9	0	0	7	6	1	0	4
Gm10644	13	11	13	13	12	12	7	13	21	13	8	18	5	16	8	16	13	12	5	12	16	9	6	22
Gm10646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm10640	9	22	3	28	8	18	6	38	16	21	0	24	10	13	9	23	9	5	0	19	11	6	7	35
Gm10648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm10649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm11820	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zik1	64	64	68	69	47	68	54	76	65	85	63	69	63	66	59	90	85	74	67	58	55	67	62	64
8430426J06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Usp8	2735	2935	2471	2897	3039	2881	2487	2959	2713	2533	2386	3001	2066	2461	1909	2912	2436	2786	2039	2627	2735	2619	2188	2820
Usp1	2435	4580	6077	3387	2692	4823	5756	3926	2588	4411	6246	3974	3348	6170	6594	4924	3280	6191	6847	5012	2836	6666	7146	4438
Usp2	1386	358	599	290	1032	375	681	315	1546	271	512	295	1237	493	682	384	1156	448	652	390	1022	434	663	344
Usp3	5939	3642	1807	3988	5910	3670	1947	4330	5722	3463	1739	4626	6830	2256	1588	3274	7071	2388	1599	2997	6898	2372	1565	3247
Usp4	4250	5298	5464	4568	4475	5527	5493	4878	4345	5616	5729	4870	4000	5271	5415	5361	3962	5742	5084	5234	4147	5433	5215	5156
Usp5	1421	2102	1918	1830	1265	2032	1925	1897	1529	2220	2294	1906	1519	2633	2528	2117	1618	2637	2402	2057	1644	2548	2456	2175
Usp7	9191	10540	10518	9082	8826	10401	9922	9899	9442	9732	10672	10261	9382	10624	10155	11663	9988	11326	10435	11185	10589	11056	10807	10408
Rpl38	15951	15035	18728	16020	15122	16833	17023	17899	15005	20587	18453	17417	25582	18907	25442	11472	23589	18043	17157	14986	16784	18546	21001	21087
Rpl39	7465	6532	5904	7705	8312	7029	5425	7002	7426	8272	5767	7535	12898	7009	7996	5612	10168	7145	5621	6041	8457	7052	6656	8477
Rpl36	7779	9284	12748	9239	6254	9294	9852	10204	7846	10440	10808	8928	12931	9835	16197	6289	12242	10720	12546	7351	8936	11223	15026	11770
Rpl37	14315	13430	14943	15093	14677	14620	14586	14868	14486	16114	13734	15109	23091	16292	19777	11816	19465	13597	14803	12726	16478	14560	16618	14748
Rpl34	19401	19514	22455	16075	20585	19201	21259	19763	17199	20281	20782	20937	30710	21915	30022	17478	23839	22269	23057	16471	20448	20923	25979	24375
Rpl35	30060	31576	38588	32604	32098	33499	37688	34796	30145	41321	38591	35918	51784	39341	53001	30161	42241	37685	41099	32901	34891	41245	46269	39890
Rpl32	24708	21893	24481	22482	25837	23609	24192	23763	23345	27165	24007	23981	42354	26129	28478	20180	34275	26755	25256	22297	28354	26929	26559	28665
Rpl30	15511	17076	12886	17180	16371	19216	14192	19077	15106	20517	14143	22558	24576	17056	23756	12374	24230	17199	14175	12610	16310	19010	22004	23601
Rpl31	31086	28795	31129	28587	32475	30332	31077	31845	27941	34642	31438	31851	52055	33638	44673	24832	41853	33796	31988	27635	33158	34784	38287	37023
Vmn1r56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cd302	52	14	11	18	27	20	11	22	26	17	12	22	38	21	17	27	59	23	13	26	51	20	26	33
Fam13b	5176	4664	1796	5101	6141	4479	1893	5593	5389	3780	1695	5754	3652	2866	1930	4119	4236	2995	1974	3922	4906	2801	2169	4193
Fam13c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Fam13a	0	0	0	2	2	0	0	4	0	4	0	5	4	0	0	2	2	0	2	0	0	6	0	2
Bcas2	1562	1788	1845	1777	1726	1849	1905	1760	1618	2050	1961	1847	1877	1934	2189	1766	1732	1942	2045	1747	1654	1886	2052	1925
Bcas3	1606	1110	249	1285	1360	1072	217	1352	1474	1098	285	1342	1189	885	191	1261	1308	917	208	1308	1253	850	186	1446
Bcas1	0	0	0	0	0	0	5	0	0	2	0	0	4	0	0	0	1	4	0	0	2	0	0	0
Gm51930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm8369	681	882	1170	828	603	888	1030	841	681	868	1024	882	508	655	756	695	569	883	705	684	543	740	809	745
Gm51932	24	30	21	42	8	26	11	38	9	29	25	41	9	17	10	25	10	21	7	10	20	11	18	26
Gm51935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0
Gm51934	0	5	0	0	5	0	0	0	2	0	2	2	0	3	0	0	3	4	0	2	0	2	0	2
Gm51937	38	4	21	5	69	7	11	11	56	3	11	3	24	18	10	7	29	13	11	0	29	7	8	8
Gm51939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm51938	3	0	0	0	4	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krtap28-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Macir	513	1325	1145	1046	732	1364	1361	1065	678	1389	1230	1178	810	1560	1400	1268	783	1800	1332	1414	660	1626	1422	1241
Mlycd	429	352	122	419	352	300	170	393	414	323	133	465	417	201	141	232	363	201	158	267	332	186	160	283
Rpl3l	2	0	0	0	3	10	0	0	0	0	0	0	2	1	0	0	0	3	1	2	0	0	0	0
Ttbk2	415	313	129	362	262	232	85	369	376	190	74	389	368	144	54	268	368	180	125	280	380	147	106	321
Gm10046	0	2	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
Ttbk1	2	5	9	7	9	10	5	2	0	4	3	3	4	2	0	4	8	10	8	4	10	5	14	5
Ncor2	8249	6702	6229	5772	7349	6323	5955	6112	8011	5579	6462	5889	6347	6393	5411	6319	7516	6148	6179	6697	7740	6254	6129	5313
Ncor1	18118	15308	10913	14808	16844	14459	11909	16072	19659	11834	10978	17133	14678	11577	9010	14731	18373	12602	10571	13658	18893	12274	10420	13113
Abhd17a	918	973	940	1032	759	1151	896	981	798	1217	999	1124	1034	1149	1089	1084	1008	1074	1025	1022	916	1096	1061	1139
Gkn1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gkn2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gkn3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Magohb	164	209	605	227	187	193	590	201	210	202	675	251	157	276	744	318	138	323	710	347	123	359	730	311
Ankrd50	12678	2071	800	2429	15157	2174	936	2502	9195	1329	1034	2625	10499	938	1026	1621	11668	930	1329	1335	12447	932	1319	1619
Ppme1	1635	3909	4271	3531	1704	3668	4425	3728	1455	3802	4356	3729	1812	4154	4306	4069	1687	4120	4226	4053	1643	4164	4406	4206
Iqca1l	0	0	4	0	1	0	0	0	0	0	0	2	0	0	0	4	0	0	3	4	0	0	0	2
Gm6358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm6351	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0
Gm19276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cep164	1565	494	66	743	1518	410	54	726	1579	413	105	707	1275	212	46	577	1379	224	61	518	1400	168	62	522
Gm19272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cep162	398	589	81	796	316	501	89	819	430	427	90	856	236	321	89	705	379	322	110	582	362	260	83	800
Gm14015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm14010	0	0	4	0	0	0	4	0	0	0	3	1	0	0	5	0	0	6	14	0	2	0	5	0
Fam234b	703	546	291	644	619	641	289	548	748	488	284	684	610	322	245	378	518	348	229	411	514	285	206	489
Lrriq1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam234a	1070	998	199	1481	938	1014	194	1428	946	929	204	1438	901	635	232	888	902	556	297	926	863	506	231	1101
Lrriq4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Gm15764	161	366	402	211	127	343	474	291	172	262	452	277	104	281	273	236	139	302	309	197	164	254	293	163
Vmn2r85	0	0	5	0	0	0	0	6	0	8	0	0	0	0	0	2	0	0	0	0	0	5	6	5
Vmn2r86	0	4	4	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	4	0
Gm15767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vmn2r80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vmn2r81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm15762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vmn2r83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tinf2	2770	1998	1585	1862	2904	2015	1721	2022	2768	2023	1647	2118	2143	1702	1539	2084	2495	1616	1535	1696	2764	1717	1509	1932
Vmn2r88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vmn2r89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Egf	91	53	30	38	102	43	22	62	106	51	51	46	61	22	18	42	63	19	26	21	90	27	25	24
Slc4a11	34	17	11	27	50	19	9	25	44	33	8	34	19	12	28	13	18	13	43	12	31	11	43	15
Slc4a10	15	19	0	37	12	13	0	54	9	32	0	51	17	12	0	29	10	10	0	32	18	7	2	33
4930519G04Rik	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm35657	0	11	11	10	2	7	29	7	3	6	15	11	4	4	16	10	5	4	12	11	4	5	10	9
Gm35655	0	0	0	2	2	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	4	0
Gm42179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm35650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm42175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700013D24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm42177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm42176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm42171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm42170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm35658	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ptprz1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm31546	24	34	39	44	42	43	58	43	21	46	62	26	51	47	54	31	31	36	64	32	38	58	42	41
Pold1	969	1397	1131	1316	940	1271	1080	1228	1117	1350	1160	1333	1006	1402	1356	1315	932	1383	1326	1388	966	1357	1282	1324
Pold2	812	2257	3667	1824	840	2214	3537	1855	818	2518	4258	1889	968	3439	3780	2318	859	3352	3736	2539	749	3475	3636	2377
Gm31545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm31542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hdac1	1546	1530	1037	1783	1478	1591	1080	1922	1721	1550	1083	1902	2231	1419	1392	1768	2073	1498	1110	1713	2005	1369	1204	2033
Gm39712	191	167	221	138	269	146	243	164	251	122	191	157	115	81	77	161	163	84	107	112	133	104	94	64
Gm11685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hdac2	1261	1994	3469	1843	1216	2013	3301	2001	1271	2130	3613	1794	1586	2727	4066	2381	1581	2892	3498	2419	1542	2969	3607	2525
Hdac5	2495	2236	234	2439	2630	2190	271	2353	2381	1812	185	2459	2644	915	126	1354	2678	826	151	1217	2842	751	187	1615
Hdac4	3894	2401	1511	2369	3877	2439	1702	2449	3901	1968	1484	2473	3320	1902	2024	2273	3930	2215	2413	2372	4562	1981	2377	2128
Hdac7	7650	15156	16515	10527	6398	15016	16599	11854	7545	13378	14160	11433	6043	14480	11631	13312	6638	14269	10458	13168	7124	15052	11712	11829
Hdac6	457	269	135	326	413	267	136	308	405	247	158	306	543	239	204	353	488	254	211	314	584	213	189	302
Hdac9	13	21	9	27	13	22	10	10	11	25	15	38	16	19	2	22	11	18	4	18	27	4	6	15
Hdac8	217	186	71	243	198	227	46	249	197	249	71	267	263	208	103	214	238	213	84	180	207	209	113	235
Gm39719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm39718	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gmpr	3	5	0	0	7	0	1	0	9	0	6	0	2	1	4	4	0	0	0	4	0	3	5	0
Gmps	1993	2408	3904	1898	1881	2698	3772	2272	2222	2579	4242	2304	2389	3460	4448	2795	2386	3711	4413	2788	2377	3816	4498	2705
